job_id,job_title,company,location,experience_level,company_size,remote_type,salary_inr,salary_usd,primary_skill,skills,month,year,demand_score
JOB00001,Deep Learning Engineer,Uber,Seattle,Entry Level,Startup (1-50),On-site,644704,7767,Python,"CUDA, Python, TensorFlow",Jun,2023,70.7
JOB00002,Data Scientist,Oracle,New York,Entry Level,Small (51-200),On-site,587556,7078,Python,"TensorFlow, SQL, Python",Sep,2023,72.0
JOB00003,AI Engineer,IBM,Singapore,Entry Level,Small (51-200),Hybrid,658291,7931,Python,"Python, Cloud, Machine Learning",Jul,2023,54.7
JOB00004,Data Science Manager,Wipro,Seattle,Senior Level,Enterprise (5000+),On-site,2702599,32561,Python,"Python, Strategy, SQL",Nov,2025,77.0
JOB00005,Data Science Manager,Intel,San Francisco,Director,Medium (201-1000),Hybrid,4341946,52312,Python,"Python, Leadership, SQL",Oct,2023,68.6
JOB00006,Computer Vision Engineer,OpenAI,London,Senior Level,Small (51-200),On-site,2122734,25575,Python,"Python, OpenCV, Deep Learning",Jul,2025,85.7
JOB00007,Data Analyst,Intel,Seattle,Lead,Large (1001-5000),On-site,3958022,47687,SQL,"Excel, SQL, Tableau",Dec,2025,90.3
JOB00008,Quantitative Analyst,Flipkart,Seattle,Senior Level,Large (1001-5000),Remote,2453253,29557,Python,"Finance, Optimization, Statistics",Mar,2025,72.5
JOB00009,AI Engineer,CRED,Seattle,Mid Level,Small (51-200),Hybrid,1115494,13439,Python,"Machine Learning, Cloud, Deep Learning",Oct,2024,74.2
JOB00010,Quantitative Analyst,Infosys,Pune,Entry Level,Startup (1-50),On-site,648830,7817,Python,"Python, Finance, R",Sep,2025,79.2
JOB00011,Computer Vision Engineer,OpenAI,Bangalore,Director,Medium (201-1000),On-site,4187193,50448,Python,"Deep Learning, Python, OpenCV",Oct,2023,71.3
JOB00012,Computer Vision Engineer,DeepMind,Chennai,Entry Level,Medium (201-1000),On-site,558084,6723,Python,"YOLO, OpenCV, Python",Sep,2023,68.3
JOB00013,Data Analyst,Amazon,Bangalore,Director,Enterprise (5000+),Remote,4663324,56184,SQL,"Excel, Power BI, SQL",Sep,2024,52.8
JOB00014,Applied Scientist,Spotify,Mumbai,Director,Startup (1-50),Remote,3208535,38657,Python,"Statistics, Machine Learning, AWS",Oct,2023,75.9
JOB00015,Research Scientist,Paytm,San Francisco,Lead,Small (51-200),Hybrid,2372039,28578,Python,"Statistics, PyTorch, Python",Oct,2024,62.1
JOB00016,Machine Learning Engineer,Apple,New York,Senior Level,Startup (1-50),On-site,2014445,24270,Python,"Python, Machine Learning, PyTorch",Sep,2023,94.4
JOB00017,Data Science Manager,IBM,New York,Senior Level,Startup (1-50),On-site,1865765,22479,Python,"Leadership, Strategy, Python",Jun,2024,88.4
JOB00018,Quantitative Analyst,Zomato,Delhi,Lead,Small (51-200),Hybrid,3350838,40371,Python,"Finance, Optimization, Statistics",Apr,2024,52.7
JOB00019,Deep Learning Engineer,NVIDIA,Berlin,Entry Level,Startup (1-50),Remote,518277,6244,Python,"Deep Learning, PyTorch, Python",Oct,2023,70.7
JOB00020,AI Engineer,Uber,Mumbai,Lead,Small (51-200),Remote,2522094,30386,Python,"Cloud, Python, NLP",Aug,2025,95.4
JOB00021,Data Science Manager,CRED,Singapore,Mid Level,Small (51-200),Remote,1463816,17636,Python,"Leadership, Strategy, Python",Aug,2023,98.3
JOB00022,AI Engineer,Accenture,Singapore,Lead,Medium (201-1000),Remote,3091627,37248,Python,"Machine Learning, Deep Learning, Python",Oct,2025,97.5
JOB00023,Research Scientist,HCL,Chicago,Director,Startup (1-50),On-site,4545581,54766,Python,"Statistics, Research, Python",Feb,2025,97.1
JOB00024,Machine Learning Engineer,CRED,Mumbai,Mid Level,Startup (1-50),Remote,943545,11368,Python,"PyTorch, Machine Learning, Deep Learning",Oct,2023,79.1
JOB00025,Research Scientist,Flipkart,Chicago,Entry Level,Large (1001-5000),Remote,551005,6638,Python,"Deep Learning, PyTorch, Python",Dec,2023,82.9
JOB00026,AI Engineer,Uber,Mumbai,Lead,Medium (201-1000),Remote,3253242,39195,Python,"Cloud, Machine Learning, Deep Learning",Jan,2025,63.0
JOB00027,Applied Scientist,TCS,New York,Senior Level,Startup (1-50),On-site,1820172,21929,Python,"Research, Python, AWS",Jul,2023,90.0
JOB00028,AI Engineer,Twitter,Seattle,Entry Level,Small (51-200),Hybrid,633812,7636,Python,"Deep Learning, Machine Learning, Cloud",Apr,2023,66.8
JOB00029,Deep Learning Engineer,Netflix,Sydney,Senior Level,Enterprise (5000+),On-site,2001789,24117,Python,"PyTorch, TensorFlow, Python",Jun,2023,50.2
JOB00030,Quantitative Analyst,Infosys,Chennai,Mid Level,Medium (201-1000),On-site,1147495,13825,Python,"Python, Optimization, Finance",Oct,2025,96.3
JOB00031,Analytics Engineer,Twitter,Hyderabad,Mid Level,Enterprise (5000+),Hybrid,1091692,13152,SQL,"dbt, SQL, Airflow",Nov,2025,67.9
JOB00032,Applied Scientist,Uber,San Francisco,Entry Level,Medium (201-1000),Hybrid,766705,9237,Python,"AWS, Statistics, Research",Oct,2025,86.7
JOB00033,Applied Scientist,Salesforce,Chennai,Mid Level,Small (51-200),On-site,1197570,14428,Python,"Research, Statistics, AWS",Nov,2023,92.3
JOB00034,Quantitative Analyst,PhonePe,Chennai,Mid Level,Medium (201-1000),Remote,1009612,12164,Python,"Finance, R, Python",Oct,2023,90.0
JOB00035,Computer Vision Engineer,Oracle,New York,Senior Level,Medium (201-1000),Hybrid,2471439,29776,Python,"Deep Learning, YOLO, Python",Jun,2025,97.4
JOB00036,AI Engineer,Swiggy,Berlin,Senior Level,Enterprise (5000+),Remote,1797121,21652,Python,"Python, Deep Learning, Cloud",Oct,2025,78.4
JOB00037,AI Engineer,Infosys,Singapore,Entry Level,Startup (1-50),On-site,618797,7455,Python,"Cloud, Python, Machine Learning",Jul,2024,94.1
