month,Python,Machine Learning,SQL,Deep Learning,Cloud (AWS/GCP),NLP,Data Engineering,MLOps
Jan,87.2,82.0,79.6,74.4,67.2,59.4,69.2,56.9
Feb,87.5,82.5,73.4,69.8,65.6,63.3,66.0,60.0
Mar,85.6,83.3,75.2,73.9,68.8,60.6,69.7,56.8
Apr,90.8,83.9,77.4,72.1,68.3,59.4,69.4,59.5
May,92.6,80.7,81.0,72.9,70.5,64.6,70.2,58.4
Jun,87.2,91.4,80.8,71.7,68.6,61.8,72.7,56.4
Jul,94.9,88.0,77.8,72.8,68.5,64.0,73.2,56.2
Aug,93.2,89.7,84.9,75.1,67.8,69.3,75.2,59.6
Sep,95.3,84.8,83.9,75.1,74.5,67.5,70.4,58.8
Oct,93.8,84.7,85.4,76.7,72.1,64.8,71.2,66.8
Nov,94.3,85.9,85.7,73.7,73.7,66.0,74.8,59.0
Dec,93.3,84.2,84.5,79.9,73.4,66.7,77.3,59.3
